label,text
negative,"когда это уже закончится, а? ну сколько ж можно?("
positive,"Что самая сладкая сладость на свете? Сахар - могла я когда-то ответить. Мёд, мармелад, пастила и щербет. Только теперь поняла я ответ. Родного ребёночка - запах макушки, что остаётся на нашей подушке, пальчики нежные и ноготки, попка, коленочки и локотки!"
positive,Скучаю!!!!!
positive,милый дед)
negative,"Самая дурацкая и жестокая ""вещь"" это Невезуха! Это капец.."
positive,"Эти руки, что открыли мою
страницу, пусть чувствуют
всегда тепло. Эти губы, что
читают эти слова, пусть
чувствуют всегда сладость.
Эти глаза, что смотрят на эти
строчки, пусть всегда видят
счастье. ♥"
negative,Вспомним молодость? Я снова плакала....
positive,а мы пожалуй ничего!!!!
negative,Мне не хватает тепла..(((
positive,Я делал :) не смейся только)
negative,Зачем мне шлюха в друзьях???
positive,"Весна ,сука, ахуенная.."
positive,ПРОСТО БУДЬ РЯДОМ...
positive,"НЕТ ВОЖДЕЙ.
ОСТАЛИСЬ УПРАВЛЯЕМЫЕ ПРЕЗИДЕНТЫ....
Мне нравится"
negative,"В каком бы ты ни был настроении,завтра перед выходом из дома не забудь одеть маску доброжелательности,дабы избежать вопросов людей,которым в действительности не интересно что под ней."
negative,Вид с пассажирского места) наши дороги по прежнему удивляют своим отсутствием)
positive,Ахахахаххх
negative,"Покажите мне того кто придумал простуду,я бы его с удовольствием заразила😩😤 "
positive,Вот к этому я шел около 16ти месяцев!!!
positive,урря!я дождался этой овцыы)
positive,"АААееее, сегодня побегаем!!!)))"
positive,"Мне кажется,что я влюбилась...)))"
positive,"""Ноооооооооовый год к нам мчитсяааааа!Скороооооооооо все случитсяааааааааа!!!"""
positive,патамушта я крутая баба! ееее!!
negative,"Егорко)) 
мы завтра тебя будем рвать на британский флаг)))
готовься!!!"
positive,Подарок от футбольной команды)))
positive,Решила кинуть) Так сказать самое любимое за последнее время))
positive,"Никто ни прийдет и не подарит Вам машину. Не будь пассажиром! Учись ! Твори! Живи! Не важно какая у тебя машина, главное, что она чистая и﻿ исправная, готовая выстрелить в любой момент."
negative,От меня спам идет - осторожно!
negative,Ну почему нельзя просто взять и унести библиотеку к себе домой! 😩 😄
positive,У себя на заборе нарисую..5+
positive,"мне не надо пуд муки, мне не надо сито - меня милый поцелует - я неделю сыта! (c)"
positive,Ура!!!! Отпуск стартовал!
positive,"Шли мы с Универа,было весело)))"
positive,Я хочу угостить тебя напитком! 
negative,Заебало если честно..
positive,Детство - это самое важное и самое потрясающее время в жизни человека!!!! :)
positive,МЫ ЛУЧШИИИИИИИИИИИИИИИЕ!)
positive,Лерка люблю тебя* Сестрёнка моя самая родная;*
negative,Одиночество.
positive,"Бля, смотрите какой у Воли крутой сайт!"
positive,#семья#сестра#брат люблю вас 😘
negative,"Нет, ну хоть кто нибудь бы сообщил об этой злополучной Аркаде, вернее о ее конце! Жаль! Детище практически.. Помяну непременно.."
negative,"Я лично Сжигал их, любите сраную Россию звоните! +79055164719"
positive,Тип НГ скоро) 😛
positive,Отличная суббота )))
positive,"♥ Рядом с тобой понимаю, что счастье есть. ♥ ©"
positive,"Что это у тебя в руке?
- Счастье...
- А почему такое маленькое?
- Оно только моё. Зато какое
лучистое и красивое...
- Да, восхитительно!
- Хочешь кусочек?
- Наверное...
- Давай ладошку, я поделюсь с
тобой.
- Ой, оно такое тёплое!
- Нравится?
- Очень...Спасибо! Знаешь, мне
намного лучше, когда счастье в
руке...
- Так всегда бывает.
- А если я с кем-то поделюсь?
- Тогда у тебя прибавится
своего!
- Почему?
- Не знаю. Только потом оно
станет ещё более тёплым.
- А руки об него обжечь
можно?
- Руки обжигает боль...Счастье
не может обжечь...
Поделисьсвоим кусочком
счастья со всеми, кому ты его
желаешь! И неважно,сколько
вернется, ведь счастье не
продается, передавай
всем,кто,по-твоему , заслужил
счастья!
ДЕЛЮСЬ!!!!!!!!!!!!"
negative,"давай уже домойки,скучаем))))"
positive,"Ну что же, я сдала на права ... и теперь могу авторитетно заявить что в нашей семье пополнение!"
positive,"XXV МЕЖДУНАРОДНЫЙ МАРАФОН ""ЭРГО - БЕЛЫЕ НОЧИ""... 
Дистанция 10 км. 804 из 1270 (чистое время 55.14))))))) для меня отличный результат))"
positive,Мы молодцы!!!! 7-А forever)))
positive,"Какие чистые , но одноцветные! А зато какими разноцветными мы стали, после Красочного Забега 😂😂😂"
positive,Ае люблю))))
positive,Наш личный лимузин! 😜 Отлично покатались 😎 
positive,"Полгода — срок, конечно, небольшой,
Но пусть он будет первым юбилеем.
Ведь нам так хорошо вдвоем,
Я ни о чём, что было, не жалею.
Наверно, мы с тобой нашли любовь,
Я всей душою в наше счастье верю.
Мне хочется, чтоб мы с тобой вдвоем
Отпраздновали сотни юбилеев.
Чтоб счастьем наполнялся дом,
А для любви всегда были открыты двери.
Теперь ты - муж, а я - жена...
Так странно и так мило...
К нам тихо подошла весна
И всё за нас решила...
Мы окольцованы с тобой
В волшебный месяц май
И связаны одной судьбой
Навеки... Так и знай...
Закономерность, как волна, 
Стремилась нас накрыть...
Теперь ты - муж, а я – жена,
Как и должно всё быть...
Нам остаётся лишь Любить,
Друг друга сердцем грея,
Себя без устали дарить,
Прощать и быть мудрее..."
positive,Ахуенний статус! БРАТАН!
negative,"Потестировал тут Gopro 2. Снимает в темноте она НЕ ОЧЕНЬ. Ну, и мой неумелый монтаж в студию!"
positive,хочу чтобы было так 22-го)
positive,"Ты обнимай меня крепко.
Так никого и никогда не обнимай.
Давай с тобой забудем лето.
В нем нет тебя,нет меня - не обвиняй."
positive,"Наивысшее счастье - катать в коляске, его маленькую копию."
positive,классный флешмоб
positive,Лето лучшая пора          целый день стоит жара
negative,"Пиздец не  утешительный диагноз поставили врачи:""Разрыв мениска, прийдется твое колено нам  серьезно полечить. И после операции ты забудешь об этой боли и еще кстати  дорогой можешь навсегда забыть и о футболе((((((((((((("
negative,")))
не звоночка,не письма((("
positive,"Мне порвали босоножки, вылили на меня коктейль, но вцелом тут весело)))"
positive,Было красиво днем ;))))
positive,А ТЫ НЕ ЗАБЫЛ???ЧТО Я ЛЮБЛЮ ТЕБЯ БОЛЬШЕ ЖИЗНИ!!!!)))))
negative,"""Понтов и ничем не подкреплённых амбиций у тебя куда больше, чем мозгов. Хотел услышать мой голос? Услышал"""
positive,"Чемпионы! Джио лучший! Ну, и где ваш Кросби? Русские идут!"
positive,Хочу в Лондон...
positive,"Лучше потерять гордость из-за любви, чем потерять любовь из-за гордости."
positive,Это было великолепно!
negative,заебала аклиматизация!
positive,"несмотря на то, что я знаю твое отношение к этому празднику, все равно это повод сказать, что я тебя люблю!)"
positive,"ахаха..Марта,про насс;)ахах"
positive,"Нет, я не сошла с ума....Просто услышала песню и о тебе подумала:)"
positive,"Мои девочки, люблю их!!!"
negative,Бля да ты ёбнутая на голову.
positive,"круть!!)
это вот к тому что надо всем стричся как ты)))!"
negative," 
Негодую..."
negative,как как) в баскетбол играл и сломал!! очень больно)***
negative,"Спи спокойно, дорогой товарищ! Сколько славных минут ты нам подарил. Pax vobiscum"
negative,"Мир невесомых слов, очень глупых людей."
positive,Ну наконецто..)
negative,"мне не суждено ни ходить в универ, ни делать курсовую..."
positive,"Ахахахххххххххххххххххххххххх))))))))))))))))))))
Борис животное))))))))))))
Войне нет,Любви да))))))))
Хахахахахха-Хахахаххаха))))))))))))))))"
positive,"Забрал твои портреты) представляешь, теперь твои работы в Канаде) невероятный каръерный рост)"
negative,купите мне билет обратно - все та же суета(
negative,Кому я нада...
positive,С племянницей Дианочкой и моей любимой Раисой Николаевной)))
positive,Спиздить шо ли у тя статус...давно на него уже смотрю...)))_))))))))))
positive,я люблю тебя:*
negative,Это тебе не ГАВНОДОРН
positive,"закончилась акция пива ""три медведя"" итого: одно полотенце (за битву на подушках (я крут!)), 71 бокалл, 73 футболки, и только вдумайтесь! 265 полуторалитровых бутылок пива!!! ну и пару сенсорных телефонов может быть пришлют. они тоже выйграны :)"
positive,Вот драм со смыслом )))
positive,"не знаю почему, но я даже вслух засмеялся ))) обычно просто улыбаюсь :)"
positive,Еееееееее)
negative,"эти паразитки действуют на нас своей энергией на расстоянии безнаказанно уродуют,убивают нас"
negative,"Где аттестат!?
ГДЕ АТТЕСТАТ?! 
ТЫ НЕ МОГ ОТДАТЬ ЕГО ПЕРВОМУ ВСТРЕЧНОМУ! 
ГДЕ ДЕТОНАТОР!!!!!"
positive,Братан остался всего лиш какой то месец и мы дома!)))че кто кого первым то встретит?)))ха
positive,забавная дискуссия))
negative,"Запросы королевы. И че? Нормально, не жмут?"
negative,"Если видишь – тебя полюбили,
И не в силах ты сам полюбить,
Лучше сразу сказать и обидеть,
Чем потом ей всю жизнь погубить…"
positive,это тебе чтобы каждый день был сладким!!!:-):-):-):-)😊
negative,Бли у нево опять комп сламалса =(((((((((( БЕДНЯШКА.......
positive,"Серёнь, молодость... хах..."
negative,компьютер-это ЗЛО!!!
positive,"мишка с перебинтованной лапкой=) 
Выздоравливай скорее:-*"
positive,"3-0,шахта впорядке...)))"
positive,"Хэлуин удался, слава Руси!"
positive,"ох пронимает. если уж Днепр так поднялся, нас не остановить)"
positive,"Прощай, школа ✋ 
Здравствуй,  новая жизнь"
positive,Зайчик мой=)
positive,"Такой у тебя нету только у меня есть ))) :D Эксклюзивчег )) 
ДАРЮ"
negative,"Я знал всегда, что женщины глупее мужчин))"
negative,"настроение под ноль, здраствуй крепкий алкоголь....."
negative,Всё меняется. Меняется жизнь. Меняются люди. И вроде всё хорошо. Но иногда так не хватает старого. Той жизни. Тех людей
positive,"Радует, что парни выходят на турник в это время и в такую погоду!!!"
positive,Наконец то.
positive,малой тащится под эту песню))
positive,Наши первые соревнования))2е место!)))Моя умничка!!!
positive,наш приз!)))
negative,С хуя-ли???!статус у тебя не по понятиям!!!!!кскотТт!!
positive,"УРАА!!Первый вариант Диплома написан, все отправлено..))"
positive,БОМБА  рулить  ))))
positive,"Достойно просмотра)
Опять милости)"
negative,Барса всрала ебать ебать 4-0 я просто в шоке слов нету!!
positive,Предлагаю поржать вместе:)
negative,"""...какого черта в жизни так происходит, что человек безумно влюбляется только в того, кто ему явно не пара? В того, с кем и так ясно: хеппи-энда не будет?"" С. Минаев"
positive,"Горная порода - это порода, которая образуется в горах © Осадочные породы возникают в результате выпадения осадков © Блеск - это состояние минерала, которое выражает его цвет. Блеск - это цвет, по которому определяется твёрдость минерала. © Нет, я всё-таки обожаю биохимиков за позитив и изобретательность, и надеюсь, что следующие проверочные работы добавят мне положительных эмоций))"
negative,"А вот и вторая страница этих хуесосов, браво, забанили, молодцы!"
negative,"Внимание!Внимание!
Сбежал маньяк-зоофил по кличке Лютый!
Если кто увидит пусть вломит пизды!"
positive,Танец Медведева (вырезанный эпизод) Красавцы!!))
positive,"Цитата дня: ""Я в Харькове, бухаю.
Ну, здесь, научная конференция.""
Всё что Вам надо знать о науке :))"
positive,"Че это ты какую-то бабу поставила??А??? ставь себя обратно, ты мне больше нравишься)))"
negative,"Техническая поддержка #nod32 на высоте. 4 дня ждал ответа от российской ТП. Ладно хоть сказали, какой файл стал причиной блокировки моего сайта их антивирусом. И их не волнует, что это текстовый файл, защищённый паролем. За подробностями отправили в англоязычную ТП, которая молчит уже неделю, даже никакого письма о подтверждении получения моего письма не прислали."
positive,"сегодня,впервые за этот злой месяц ,я буду слушать радостную музыку.Ра.рарара"
positive,ахахахахаха ооо да)
positive,чувак зацени это произведение искуства! вот это вещь
positive,Истооория💜💜
positive,Зайцы мои😘😘😘Моя опора и отрада)
positive,самы самые:*
positive,с удовольствием приглашаю на премьеру спектакля!
positive,"Послушай, не рок конечно, но прикольная))"
negative,судья - ПИДАРАС!! Капец а какой был гол красивый....
positive,"Она у меня вообще замечательная.
Такой ни у кого нет."
negative,Бля завтра химия
positive,ТЫ МОЕ МАЛЕНЬКОЕ СЧАСТЬЕ !!!!!!! Я ТЕБЯ ЛЮБЛЮ ОЧЕНЬ СИЛЬНО !!!!!!!!!
positive,ПОБЕДИЛА!!!!! В ЭТОТ РАЗ!!!! АХАХАХАХАХАХА!!!! =))
negative,дернуть бы куда из депрессии.
positive,Молод и прекрасен))💋💋💋
positive,один день!!!!)))))) ахаххаахах
positive,Пахнет детством)
positive,Я люблю свою  мамулю =))
negative,"Неоднократно встречалась с такой системой проката велосипедов в других странах, даже пользовалась. Теперь есть и в Москве, конкретно — на Бульварном кольце. При условии, что будет охвачен весь город, одобряю. Тогда можно будет, например, с работы домой добраться. 
А пока... Где по Бульварному кольцу можно проехать на велосипеде? Выделенных дорожек нет, а пешеходы есть, и в большом количестве. Остается только проезжая часть, но этот вариант — для желающих поскорее расстаться с жизнью под колёсами автомобиля/трамвая.
Бульварное кольцо и пешком без проблем преодолевается, коротковат маршрут для велосипедного способа перемещения. 
PS А липы на Цветном здорово подросли за 10 лет."
positive,Забираю своих любимок с роддома!!!)))))
negative,ужас. 65 лет. проблемы со здоровьем. а ей платье подавай. и опять цирк.про мед.сестру.сходила выбрала.фанатка.вот ехидна.отравляет всем жизнь.
positive,"Ты поешь — и звезды тают,
Как поцелуи на устах.
Посмотришь — небеса играют
В твоих божественных глазах.
Идешь — и все твои движенья,
Улыбки, взоры и черты
Так полны чувств и оболыценья,
Так полны дивной простоты!
Судьба тебя вручила мне, родная,
И лучшего подарка я не знаю!
Я люблю тебя и очень по тебе скучаю!
:*:*:*:*:*:*:*:*:*:*:*:*:*:*:*:*"
negative,ты тупая овца!!!!ты никуда не едешь!!!!!!!!!!!!!! я те сказала!
positive,Котик проказник!))
positive,Мороз и солнце; день чудесный!
positive,и вообще Динамо Хантемансийск Чемпион)))
positive,"Когда скучаешь по близкому человеку, любая мелочь напоминает о нем."
positive,Люблю тебя*))
negative,"[club28477986|Ты не поверишь!], хуй там!"
positive,солнечный Лондон)))
positive,"Стася, УРРРРАААААА!!!!!!!!"
negative,"Мне не отогднать тоску, она маленьким матыльком прилетела ко мне. И как только на землю опускается сумрак, садится мне на плечо, и превращается в огромную птицу печали, окутывающую меня крыльями....."
positive,"ааахахаха)
Клоунада на самом деле)"
positive,класс клип))
negative,"Вот блин...центр города, солнечное утро, клевое -сонное утро, купила по доброй традиции кофе...в ушах наушники...синие штаны,новенькие желтые кеды, вокруг цивильные люди...иду на любимую работу...Метро...шесть дверей, три на вход и три на выход...подхожу...и тут мой мозг отказывается верить...из двери куда все заходят,вылетает женщина преклонного возраста, сшибает меня, кофе выливается на меня...она пролетает, не оглянувшись..сцуко...коня на скаку остановит...есть женщины в русских селениях, похожие больше на баб..."
positive,"обгон шикарен!
любителям F1 посвящяется"
positive,"Залим, благодарим тебя за то, что ты смог понять и передать именно то, что нам хотелось выразить - и облечь это в потрясающие красивые фотографии! Они чудесны. Слава Господу за тот талант, который Он подарил тебе!"
positive,АХАХХАХХХАХАХ
positive,ахаххаахахахха!!
negative,Большая крамола о трагедии маленького народа
positive,"Я-маленькое счастье!Обещаю прити ко всем...кто меня позовет...Волшебства не обещаю,но улыбку точно подарю!!!*)))"
negative,"Министр культуры России заявил, что «у россиян на одну хромосому больше». Он знает, что это — синдром Дауна?"
positive,А мы катаемся! :) как в детстве классно!
positive,Золотой мяч достался Месси))))))))))
positive,А вот теперь подвывай))))ахахахах))))
positive,=))))) ахахахаха
negative,"Столько аварий, как сегодня, в городе я не видел никогда. Будем считать, что так украсили обнаженно-новогодний город. Здравствуй, попа, Новый год! Страховщики, с наступающим Вас! (и смайлик такой, с подъёбушкой)"
positive,"я неадекватный, пьяный и обкуренный в нахуй))не обижайтесь, если че и поддержите тему если вы в теме xDDананангагагахахаха_))))) ееееееббббббббаааааааааааатттть как прет))"
positive,День дураков😋
positive,Наши покатушки)
positive,"GQ июнь, первая обложка с российским продакшном, и она с МОИМ продакшном) Just happy)) Моменты, ради которых ходишь на работу - когда тебе говорят ""ну-у-у, раньше мы такого никогда не делали..."". А ты - делаешь)"
positive,Сильно... чень сильно))))
negative,оооо ну тада иди нахуй2
negative,"а хули тут базарить.. па-ра-сю-ки...ахахааахххахаа, ойржунимагууу))))ну всё,.. пиздец хахлы, дожились вы(.меняйте нахуй приоритеты!...отныне вы и не хахлы уж более,.не подобает вам по статусу ужо((..на новый уровень вы, клоуны, взошли!..Парасюки вы отныне, все,.. до скончания века... и впредь..и территория ваша - Парасьюковия...а идеология - Парасюковизм...бабы ваши - Парассьююючки..а дети -Парасссьята,.внуки - Парассьючатами будут..а мамаши - Парасьюкивны...я любуюсь на вас, вы выслужили это...ну а фабула ..сего действа - бляди вы ссыкливые,-парасюки и парассьючки!!!..какие ж вы дерзкие-резкие, аки бенюк с мирошниченко!.ждём с нетерпением новых перфомансов..мрази пазорные, фубля(((("
positive,ахах человек ржака)))
positive,Рабочая неделя позади!!! Всем прекрасного завершения пятницы и отличных выходных !!! ;)
positive,Поздравляю всех своих соседей! В некогда забытом интернетом месте наконец-то появится Дом.ру!)))И-хаааа!
positive,"ахахах, помнишь ? :дд"
negative,"Друзья, в ночь на 12 марта Никита скоропостижно скончался. Прошяния состоятся в субботу 14 числа. По поводу времени и места напишем чуть позже"
negative,шалбанова умерла
positive,Новый рис Помеллы офиген
negative,"Этой стране пздц.
"
positive,Горячая штучка😃🙈 девочка-клубничка🍓🍓🍓
negative,"Отобрать камеры, людей которые снимались, отправить в спектакли для первоклассников, дети может их игре поверят, город заселить людьми которых в нем нет...."
negative,"Все,терминальная стадия. Кент Хованд номер два. Как жаль,что пари нельзя сделать ""законным"",так сказать. Ох ,как жаль."
positive,"Новая команда в Волгограде! Ребята, мы сделали это!"
positive,"Как же красиво на улице)))
Всем горячих объятий и теплых эмоций этой зимой!:)))"
negative,всё...сново каторга...опять 10мес мучений...(((((((((
negative,На ноуте плохо(
positive,мой любимый момент.. обожаю Вин Дизеля)))
negative,Вадим ты заебал уже
positive,А в нашем огороде наконец-то созрел ананас 😊
negative,Это отвратительно
positive,#роднаямоя#
positive,"2 недели проектирования и 3 дня доработки в Photoshop...
Море незабываемого времени проведенного за этим проектом дает в результате неоценимый опыт.
 Наполняя жизнь радостью и счастьем исчезает вся нервозность и обретается чувство свободы перед сдачей проекта (хотя во время своего обучения такие проекты мне и не снились ). Очень рад тому что принял участие в совместной работе с Архитектором с Большой Буквы. Спасибо за то что жизнь прекрасна!)"
negative,че падаешь как шлюха?
positive,Вот как надо любить подругу!!!!
negative,кидаешь меня????? да?????
positive,Ахаха))))вот вам папы))))
negative,"Страничку взломали,пытаюсь восстановить"
positive,от такого хочу))
positive,"вот под эту давайте танцевать:DDD
так то норм получается под нее)"
negative,"Ну вот, только-только снег выпал, а зимы то всего 3 месяца осталось :("
positive,"Матвей , лучший на земле мужчина ,и сын !!!"
positive,самый лучший дееень:*
negative,Сука не навижу болеть...(
positive,Дипломная сдана. Хочу жить =)
positive,Сейчас нас сможет спасти только кружка горячего чая с лимоном! :)
negative,я хочу чудес....где они?(
positive,люблю её и похуй
positive,Скорпионы пиздатые ребятки
positive,"аххаххаха, ну и статус)"
negative,"Впервые в жизни КУПИЛ антивирусник, а он не ставится :)"
negative,статус - мудак и мразь!
positive,Тебе моя ласточка😘P.S слушать👂исключительно☝️в🚘
positive,у меня родился малыш!!!!!!!!!!!!!
negative,"я только получил права, а уже думаю где их проебу ;("
negative,"3 июля 2013 г. в 16:30 в Малиновском суде состоится первое заседание суда по делу парня погибшего на ул. Краснова в столкновении с грузовиком, пытавшемся повернуть через двойную сплошную. 

Адвокат виноватой стороны заявляет, как бы это не пародоксально звучало, что водитель грузовика ни в чем не виноват. 

Желающие поприсутствовать есть?
Очень хочется послушать этот бред непосредственно в суде."
positive,"Математика в данный момент))) Чаёк)))
Чел слева улыбнул)))"
positive,"Мы снова постригли шкварку. Я в особом восторге от нашего усатого профиля. В глазах, конечно, печаль-тоска..."
positive,Эта прелесть приедет ко мне уже на следующей неделе!!!
positive,брат почитай эт писец))) я под столом
positive,Молодец дядька)) Просто и гениально))
positive,какая классная....и песня и девушка.....прям сижу и пою....бедные соседи.....
positive,"Да чтоб вам, друзья мои, утонуть в Любви! Да чтоб вы провалились в пучину Нежности! Да пропадите вы на Мальдивах на месяц! Да я видеть вас не хочу… грустными!"
positive,Это шедевр! /
negative,Хочется немножко сдохнуть
positive,Мы такие разные но мы так похожи ❤️
positive,"Здесь лучше, чем вКонтакте | Connect.ua"
negative,"ЭТИМ ОСЛАМ 
МЫ НИКОГДА НЕ СДАДИМСЯ 
И ПОШЛИ ВЫ В ЖОПУ"
positive,"Крис ты просто КОСМОС! Ты просто супер у тебя круты скрины ! Мне они нравятся! Они просто КОСМОС!Ты очень классная, красивая,весёлая,Смешная, Милая и т.д.
P.S.Просто ты очень хороший человек 😘  😘"
positive,Спасибо небесам! я жив
positive,"Родная, было здорово 😚"
positive,"я вас просто обожаю девушка, выходите за меня!!!"
positive,"уррррра, НАШЛА )))))"
positive,наша Винница ❤️
negative,"Я странная девушка: я ненавижу алкоголь, но напиваюсь с подругами.. я ненавижу вранье, но я вру во имя добра.. а еще я ненавижу придурков.. но почему-то именно в них я и влюбляюсь"
positive,"Вот знаете...самое приятное это когда ты понимаешь что есть люди, которым ты дорога вот такая,заспанная,ненакрашенная,в домашней футболке)))"
positive,А завидовать не хорошо!)...ахаха
positive,Открыл для себя хоккейный сезон) отправил сегодня одну шайбу в ворота противника)))
positive,Хочу кету!)))
negative,Блин!!!не присылай мне этого чувака!!!он меня бесит!!особенно когда про гея пел
negative,Шото я сёня в солярии подгорел=)))
positive,"Месси лох,
Шадрин Бог:)"
positive,АХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХАХА
negative,"Парни часто упускают достойное, подбирая доступное♥"
negative,братан скучаю пиздец((((
negative,ейт бол сказал что мы с Иванкой алкоголички    О_о
negative,"Навязчиво крутилась в голове песенка - дешевый политический памфлет на злобу дня. Пока не записал, спать не дали.

ПОДАРКИ ДЛЯ ДУРАКА
(поется на мотив «Облака, белогривые лошадки»)

От восточного серпика луны,
И от звездно-полосатого заката
Нам дерзят погибели сыны.
В остальном — отличные ребята!

Ах, Эрдоган!
Ты решил, что на лошадке.
Ты хулиган
И с башкой не всё в порядке.
Не смотри на нас, пожалуйста, свысока.
Есть у нас подарки для тебя, дурака.

Мы пульнем в заоблачную даль.
Пустяком тебе покажется Чернобыль.
От серпа отколется звезда.
И падет к нашим ногам Константинополь.

Ах, Эрдоган!
Ты решил, что на лошадке.
Ты хулиган
И с башкой не всё в порядке.
Не смотри на нас, пожалуйста, свысока.
Есть у нас подарки для тебя, дурака."
negative,"ебло немножко перекосило...ну ниче милая, и так сойдет))"
positive,Ююююхххуууу!!!
positive,приувет ЕС)))
positive,огонь они))
positive,УРА ...Я НАШЛА СЕБЕ МУЖА))))
positive,И такое чудо можно увидеть в бруклине)))
positive,мой любимый племяшка ))) люблю тебя ***
negative,"Люди думают что они любят. Проблема есть в том что они ..думают..это. Любовь нужно нести в себе. Любовь это и есть твоя сущность. Она внутри. Не нужно думать,нужно любить!!!"
negative,"""Полиция разоблачила банду поставщиков санкционного сыра"".

Просто задумайтесь в каком пи***це вы живете: полиция, банда, сыр. Не кокаин, СЫР."
positive,"норм статус , со смыслом...)"
positive,Это намного круче!!
negative,ВЫХОДНЫЕ?????....НЕ НЕ СЛЫШАЛА!!!(((
positive,"А сможешь ли ты подцепить еще более сексуальней  столичную цыпочку, чем ту, которую подцепила я? 
Я думаю что НЕТ! 
Завидуйте неудачники. 
 "
negative,"Второй день подряд мне задают на работе вопрос: ""Женя, есть сценарий?"". Второй день подряд я проявляю чудеса стойкости и не отписываюсь ""Да с хуя ж вы с меня его требуете? Блядь да почему жеж блядь я нормально не могу СВОЮ работу работать?"". Мне кажется я достиг определенных успехов в управлении гневом."
negative,имей совесть отдай карту!!!!
positive,Тронуло очень...
positive,Шикарные выходные. Уже скучаю)
positive,Зенит-ЧЕМПИОН!!!
negative,"Мы родились -распался СССР,пошли в школу -начался дефолт,поступили в 
универ -стукнул кризис.Закончим универ -конец света.Поколение лохов"
